S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
132,Deaf and Hard-of-Hearing Federation (Singapore),Registered,S98SS0140E,Not Applicable,Social and Welfare,Disability (Adult),"Public awareness, promotion & advisory Training & education"
133,DEAF SPORTS ASSOCIATION (SINGAPORE),Registered,T12SS0228C,From 07/3/2020 to 31/3/2023,Sports,"Competitive Sports,Disability Sports,Non-NSAs,Youth Sports","Direct Services Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory"
134,Dermatological Society of Singapore,Registered,S72SS0047E,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
135,"Design Society, The",Registered,T09SS0071G,Not Applicable,Arts and Heritage,Others,
136,DHC HOPE FOUNDATION LTD.,Registered,201322114N,Not Applicable,Others,General Charitable Purposes,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
137,Domestic Employees Welfare Fund,Registered with IPC,T16CC0008C,From 10/3/2022 to 09/9/2024,Social and Welfare,Support Groups,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
138,DR TOH CHIN CHYE BENEVOLENT FUND FOR THE AGED,Registered,S89CC0692F,Not Applicable,Community,Central,"Financial assistance, bursaries & scholarships"
139,DR. OON CHIEW SENG TRUST LIMITED,Registered,201319279R,Not Applicable,Health,Others,"Direct Services Financial assistance, bursaries & scholarships Training & education"
140,Eckankar Satsang Singapore,Registered,S79SS0022F,Not Applicable,Religious,Others,
141,Eden Community Services Centre,Registered,S99SS0093K,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",
142,EMANCIPASIA LTD.,Registered,201205064M,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Training & education"
143,EMMANUEL TAMIL ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,Registered,S90CC0753H,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
144,EMPOWER AGEING LIMITED,Registered with IPC,201619560Z,From 20/4/2023 to 19/4/2026,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
145,ENDOCRINE & METABOLIC SOCIETY OF SINGAPORE RESEARCH FUND,Deregistered,S86CC0400E,Not Applicable,Health,Others,"Financial assistance, bursaries & scholarships Training & education Research"
146,Endocrine and Metabolic Society of Singapore,Registered,S71SS0056J,Not Applicable,Health,Others,"Financial assistance, bursaries & scholarships Training & education Research"
147,ENGINEERING GOOD LTD.,Registered,201408320W,Not Applicable,Others,Humanitarian Aid,"Public awareness, promotion & advisory"
148,EST OF DOO GEE LILY ALSO KNOWN AS LILY GEE DOO DECEASED,Registered,S87CC0446F,Not Applicable,Others,General Charitable Purposes,
149,EST OF R M MEYER DEC'D SYNAGOGUE TRUST FUND,Deregistered,S85CC0170G,Not Applicable,Religious,Others,
150,EST OF R M MEYER DEC'D TALMUD TORAH TRUST FUND,Deregistered,S85CC0171C,Not Applicable,Religious,Others,
151,EUNOS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0679A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
152,EURASIAN ASSOCIATION ENDOWMENT FUND,Registered,S92CC0913B,Not Applicable,Others,Self-Help Groups,"Financial assistance, bursaries & scholarships"
153,EVANGELICAL ALLIANCE OF SINGAPORE LTD.,Registered,198001725R,Not Applicable,Religious,Christianity,Direct Services
154,Evangelism Equipping Mission (Singapore),Registered,S90SS0008K,Not Applicable,Religious,Christianity,Training & education
155,EVERCARE WELFARE CENTRE,Deregistered,T06SS0304F,Not Applicable,Social and Welfare,Eldercare,
156,EXCLUSIVELY MONGRELS LIMITED,Registered,201216939N,Not Applicable,Others,Animal Welfare,"Public awareness, promotion & advisory Training & education"
157,FAH SI LAM BUDDHIST TEMPLE,Registered,S88CC0566A,Not Applicable,Religious,Buddhism,
158,"FAITH CHARITY TRUST,THE",Registered,S95CC1091E,Not Applicable,Religious,Christianity,
159,Family Enrichment Society,Registered,S98SS0035L,Not Applicable,Social and Welfare,Family,Training & education
160,FAMILY LIFE FIRST,Deregistered,S97SS0016C,Not Applicable,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
161,"Federation of Art Societies, Singapore",Registered,S92SS0016L,Not Applicable,Arts and Heritage,Visual Arts,"Public awareness, promotion & advisory Training & education"
162,"Federation of Youth Clubs, Singapore",Registered,S62SS0052E,Not Applicable,Others,Children/Youth,Direct Services Supports other Charities
163,FELLOWSHIP OF CHRISTIAN ATHLETES SINGAPORE LIMITED,Registered,201300850N,Not Applicable,Religious,Christianity,Direct Services Training & education
164,Festival of Praise Fellowship,Registered,S98SS0112D,Not Applicable,Religious,Christianity,
165,FLUTE ASSOCIATION SINGAPORE,Deregistered,T12SS0101H,Not Applicable,Arts and Heritage,Music & Orchestras,
166,FOMOS LTD.,Registered,200609590N,Not Applicable,Religious,Christianity,Supports other Charities Training & education
167,Fook Tet Soo Hakka Temple,Registered,T07SS0006H,Not Applicable,Religious,Taoism,
168,FRANCISCAN MISSIONARIES OF MARY,Registered,S92CC0900J,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
169,"Free Christian Church of Singapore, The",Registered,S61SS0112D,Not Applicable,Religious,Christianity,Direct Services
170,Friends of Autism Charitable Trust,Registered,T20CC0001D,Not Applicable,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
171,Friends of the Disabled Society,Registered,T00SS0207F,Not Applicable,Social and Welfare,Disability (Adult),Direct Services
172,FULLERTON HEALTH FOUNDATION LIMITED,Registered,201543817H,Not Applicable,Health,,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education"
173,Fung Huo Yuan Temple,Registered,S89SS0080C,Not Applicable,Religious,Taoism,
174,Gang Tian Da Di Association,Registered,S88SS0004H,Not Applicable,Religious,Taoism,
175,General Board of True Jesus Mission,Registered,S62SS0040H,Not Applicable,Religious,Christianity,
176,GENERAL WELFARE FUND,Registered,S86CC0353E,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
177,Gerontological Society,Registered,S86SS0037A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Training & education Research"
178,GESS FUND LTD.,Registered,201227734E,Not Applicable,Education,Others,Training & education
179,Geylang New Testament Church,Registered,S81SS0003K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
180,GEYLANG SERAI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0856H,From 01/4/2023 to 31/3/2026,Community,South East,"Financial assistance, bursaries & scholarships"
181,Glad Tidings Gateway,Registered,T06SS0197B,Not Applicable,Religious,Christianity,
182,GLAXOSMITHKLINE-EDB HRD FUND,Registered,S91CC0817A,Not Applicable,Others,General Charitable Purposes,
183,Glory Centre,Registered,S97SS0056A,Not Applicable,Religious,Christianity,
184,Glory Centre Community Services Association,Registered,T04SS0029B,Not Applicable,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships"
185,God@Work,Registered,T04SS0058K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
186,GOOD GIFTS CITY CHURCH,Registered,S97SS0173C,Not Applicable,Religious,Christianity,
187,Gospel Baptist Church,Registered,S89SS0019J,Not Applicable,Religious,Christianity,Direct Services
188,Gospel Light Bible- Presbyterian Church,Registered,S97SS0038E,Not Applicable,Religious,Christianity,
189,Grace Bible Church,Registered,T00SS0135E,Not Applicable,Religious,Christianity,
190,Grace Christian Centre,Registered,S99SS0016B,Not Applicable,Religious,Christianity,Training & education
191,Grace Communion Church,Registered,S96SS0080B,Not Applicable,Religious,Christianity,
